review_id,rating,title,review,date,version,author
r0277,2,Export silently fails,Our weekly reporting workflow is blocked because CSV export silently fails for large date ranges.,2025-10-06,3.1.0,tech_lead_ryan
r0016,1,Project switch kills app,The crash happens faster if you switch projects quickly. Slower switches sometimes work but not reliably. Issue #1015.,2026-03-26,3.1.0,power_user_max
r0208,3,Starting from scratch with no help,I've used 29 project management tools. All of them have onboarding. This is the only exception. Note #4007.,2025-08-12,3.2.1,infra_lead_ian
r0033,1,Instant crash when switching workspace,Fatal crash on workspace navigation. The null pointer in the project context handler is clearly a regression from 3.2.0. Three stars for everything else.,2025-11-21,3.3.0,mobile_dev_li
r0226,3,First time user lost,Onboarding checklist is table stakes for a B2B SaaS in 2026. Please add one.,2025-12-31,3.1.1,qa_morgan
r0095,1,Async init deadlock on start,After the 3.2.1 update every morning starts with a 25-second black screen. Please roll back the init changes. Review #2014.,2025-10-08,3.2.0,dev_luke
r0029,1,Project switch kills app,Clicking any project in the sidebar crashes the app immediately. Started with 3.3.0. Completely unusable for multi-project teams. Ticket submitted to support.,2025-11-12,3.0.0,power_user_max
r0042,1,Null pointer on project switch,Before 3.1.1 this worked fine. Now switching projects crashes immediately. Please roll back or hotfix this. Downgrading until fixed.,2025-08-07,3.2.1,ux_riley
r0267,2,Export silently fails,Enterprise clients can't use data export at all. Blocking renewal conversations for us.,2026-03-13,3.0.1,data_eng_yuki
r0117,2,Black screen after update,The black screen on launch is the first thing new users see. This is a terrible first impression for a $99/mo app. Build: 3.2.1.,2026-01-21,3.3.0,growth_hacker_zoe
r0104,2,First launch shows black screen,All 6 users on our account hit black screen on launch. This has been happening since the 3.2.1 release.,2026-03-11,3.0.0,beta_tester_chloe
r0066,1,Instant crash when switching workspace,On enterprise plan and this crash is blocking our cross-project work completely. Need a hotfix today. Downgrading until fixed.,2026-01-26,3.3.0,backend_kai
r0049,2,Project context crash,The crash happens faster if you switch projects quickly. Slower switches sometimes work but not reliably.,2025-11-28,3.1.1,eng_lead_mia
r0120,1,Black screen every morning,The deadlock appears in the async init sequence. Race condition between auth and data loading components.,2025-10-05,3.3.0,solo_founder
r0031,2,Workspace switch causes crash,The project switch crash has been reported by multiple users for weeks. Still no fix. Unacceptable. Three stars for everything else.,2025-09-03,3.2.1,scrum_master_ben
r0202,4,No onboarding wizard,Trial conversion must be suffering from the missing onboarding. New users don't know where to start.,2026-02-27,3.2.0,startup_cto
