review_id,rating,title,review,date,version,author
r001,1,App crashes every time I switch projects,The app crashes without fail whenever I try to switch between projects. Lost all my work twice now. Unacceptable for a paid app.,2025-08-03,3.1.0,marcus_dev
r002,1,Switching projects kills the app,I click on a different project and the app just dies. No warning, no autosave. Started after the 3.2 update.,2025-08-07,3.2.0,product_jane
r003,2,Crashes on project switch - please fix,Rating 2 instead of 1 because I love the app otherwise but this crash is a dealbreaker. Reproducible every time.,2025-08-11,3.2.0,teamlead_sarah
r004,1,Fatal crash switching workspaces,Our whole team is stuck. Every single person hits this crash when switching between workspaces. Please patch urgently.,2025-08-15,3.2.0,cto_startup
r005,1,Project context crash since 3.2,Null pointer crash in project context handler. I can see it in the logs. Easy to reproduce: open two projects, switch between them.,2025-08-19,3.2.0,dev_luke
r006,1,Crashing constantly on project switch,This is my third support ticket about this crash. Every time I go from project A to project B the app quits.,2025-08-23,3.2.0,pm_alex
r007,1,Unusable - crashes on switch,Downloaded this for my whole team and none of us can switch projects without a crash. Requesting refund.,2025-08-27,3.2.1,team_manager
r008,2,Good app ruined by crash bug,Great features but I cannot do my job when switching projects crashes the app every single time without exception.,2025-09-01,3.2.1,designer_mia
r009,1,App closes when I switch projects,The moment I click on another project the app freezes for two seconds then closes. Data loss every time.,2025-09-05,3.2.1,freelancer_tom
r010,1,Still crashing after 3.2.1,Updated hoping the crash was fixed. Still crashes on project switch. This is a critical bug that has been ignored.,2025-09-09,3.2.1,senior_eng
r011,1,Project switch = instant death,100% reproducible. Click project in left sidebar. App freezes. App crashes. Every. Single. Time.,2025-09-13,3.2.1,ux_researcher
r012,2,Crash ruins my workflow,I have to log back in every time I need to look at a different project because switching always crashes the app.,2025-09-17,3.2.1,agile_coach
r013,1,The worst regression I have seen,This project-switch crash has been present for months and has not been fixed. How is this still shipping?,2025-09-21,3.3.0,eng_manager
r014,1,Complete crash on workspace change,I manage 12 projects and cannot switch between them without crashing. Completely breaks my workflow.,2025-09-25,3.3.0,portfolio_pm
r015,1,App crashes when I change projects,Tried on two different iPhones and one iPad. Same crash every time I switch projects. This is a platform-wide bug.,2025-09-29,3.3.0,qa_tester
r016,2,Crash bug is killing my productivity,Good project management tool overall but this crash has reduced my productivity by about 40% since I have to restart constantly.,2025-10-03,3.3.0,startup_founder
r017,1,Uninstalling due to crash,I cannot use an app that crashes every time I do the most basic action. Switching between projects should not crash an app.,2025-10-07,3.3.0,angry_user
r018,1,Project switch crash still not fixed,Version 3.3 and the crash on project switch is still there. I am moving to a competitor if this is not patched.,2025-10-11,3.3.0,enterprise_user
r019,1,Freezes then crashes when switching,The app freezes for about 3 seconds when I switch projects then fully crashes. Log shows null pointer in context.,2025-10-15,3.3.0,backend_dev
r020,2,Love the features hate the crash,If not for this project-switch crash this would be a 5-star app. Please fix this and I will update my review.,2025-10-19,3.3.0,loyal_user
r021,1,Black screen every morning since update,After the 3.2 update the app shows a black screen for 15-20 seconds on every cold start. Only warm restarts work fine.,2025-08-05,3.2.0,morning_user
r022,1,Black screen on launch,Opens to a completely black screen. Have to kill and reopen the app at least twice every morning. Absurd.,2025-08-10,3.2.0,daily_user
r023,2,Black screen issue ruins mornings,I depend on this app first thing in the morning and the black screen bug means I waste 3 minutes every single day.,2025-08-14,3.2.0,commuter_felix
r024,1,Stuck on black screen,App hangs on a black screen indefinitely. Force-close and reopen is the only fix. This is a fresh install issue.,2025-08-18,3.2.0,new_subscriber
r025,1,Black screen deadlock on startup,This is clearly an async init deadlock introduced in 3.2. The app stalls during initialization on cold start.,2025-08-22,3.2.0,ios_dev
r026,2,Black screen every cold start,If I quit the app completely it always shows a black screen for 20+ seconds on relaunch. Warm restarts are fine.,2025-08-26,3.2.1,power_user
