review_id,rating,title,review,date,version,author
r0110,2,Insurance pre-auth ignored,Received a bill for a service I never received. Dispute submitted 8 weeks ago with no acknowledgment or resolution. Case #319.,2026-03-23,4.2.1,CareUser4611
r0109,1,Overcharged for procedure,Duplicate charges for the same lab test appeared on my bill. Both the in-house lab and a third-party lab billed for identical work. Case #318.,2026-01-27,4.1.1,User3664
r0140,1,Two-factor authentication broken,The portal is completely unusable on Android Android 12. Crashes on the home screen. iOS users don't have this problem. ID #414.,2026-03-17,4.2.1,PatientUser8019
r0001,1,Shocking wait time in ER,Waited 8 hours in the emergency room with difficulty breathing. The app showed 43 minutes wait time. Nobody communicated any updates during the entire wait. Review #100.,2026-03-10,4.1.1,AppUser7252
r0127,2,Login fails repeatedly,Test results from 8 weeks ago are still not visible in the portal. I was told they would appear within 48 hours. They have not. ID #401.,2025-12-11,4.0.0,PatientUser3287
r0106,2,Duplicate charge on account,The billing dispute resolution process takes 2 days minimum with no updates. Meanwhile interest accrues on the incorrectly billed amount. Case #315.,2026-04-22,4.0.0,CareUser5333
r0027,1,Shocking wait time in ER,The ER triage system is completely broken. My family member with a high fever waited 4 hours. App consistently showed 41 minute wait which was wildly inaccurate. Review #126.,2025-10-07,4.1.0,User2307
r0007,1,Emergency wait hours too long,Waited 5 hours in the emergency room with a head injury. The app showed 17 minutes wait time. Nobody communicated any updates during the entire wait. Review #106.,2026-02-16,4.1.0,PatientUser8019
r0083,2,Booking confirmation never arrives,Lost 2 minutes entering insurance information before the session timed out. System should save progress or have a longer timeout. Entry #232.,2026-02-25,4.0.0,PatientUser9348
r0093,2,Insurance not applied to bill,Was charged at inpatient rates for an outpatient procedure. The difference is $2890. Billing has not corrected this despite 5 calls. Case #302.,2026-01-15,4.2.0,HealthUser6820
r0152,1,Locked out of health records,"The password reset loop is maddening. I enter my new password, it says success, then on login it says the password is wrong. 8 attempts. ID #426.",2025-10-14,4.1.0,CareUser4611
r0048,1,ER wait time unacceptable,"Wait time has increased dramatically over the past 45 months. Previously 1h wait, now consistently 3h. Staffing or triage process needs urgent review. Review #147.",2025-12-03,4.1.0,AppUser7252
r0123,1,Bill dispute no response,Insurance claim was submitted to the wrong plan code. Results in a $2313 out-of-pocket charge that should be $0. Support has not fixed this after 6 attempts. Case #332.,2026-03-12,4.2.0,AppUser2827
r0016,2,App shows wrong wait time,Emergency department wait time has doubled in the past year. 6-hour waits are now normal. The displayed app wait time is always 36 minutes regardless of actual wait. Review #115.,2025-11-22,4.1.1,CareUser6514
r0065,1,No confirmation email received,The portal crashes on the confirmation screen when I include insurance information. Empty fields go through fine but that's useless for billing. Entry #214.,2025-12-20,4.0.0,PatientUser4593
r0092,1,Bill dispute no response,Received a bill for a service I never received. Dispute submitted 6 weeks ago with no acknowledgment or resolution. Case #301.,2025-11-27,4.0.0,User7065
r0028,2,Waited hours with urgent condition,Staff were pleasant but the 3-hour wait with no communication was unacceptable. The app wait time display has never been accurate in my experience. Review #127.,2025-10-08,4.0.0,AppUser2876
r0008,1,App shows wrong wait time,The digital queue system says 22 min but after 6 hours I still wasn't seen. The app data and reality are completely disconnected. Review #107.,2025-10-25,4.2.0,User6925
r0035,1,Emergency wait hours too long,Staff were pleasant but the 7-hour wait with no communication was unacceptable. The app wait time display has never been accurate in my experience. Review #134.,2026-03-22,4.1.1,CareUser3547
r0095,2,Insurance claim rejected incorrectly,Was charged at inpatient rates for an outpatient procedure. The difference is $1071. Billing has not corrected this despite 8 calls. Case #304.,2026-04-16,4.2.0,User2291
r0062,1,Portal error during scheduling,The appointment confirmation is never sent. Every booking requires a follow-up phone call to verify. This defeats the purpose of online scheduling. Entry #211.,2025-10-24,4.1.1,CareUser3547
r0131,1,Test results missing from portal,My health records were visible last month. After the app update they disappeared entirely. Support says they can see them on their end. ID #405.,2026-02-28,4.1.0,AppUser7916
r0037,2,Hours wait no update,The emergency wait time notification system is useless. It says 27 minutes but actual wait is 6 hours. At least tell patients to expect a long wait. Review #136.,2025-11-26,4.1.0,AppUser3504
r0133,1,Health records portal down,My medication list shows discontinued medications as active and is missing current prescriptions. The data sync is clearly broken. ID #407.,2025-11-03,4.0.0,User6925
r0139,2,App crashes on records screen,My health records were visible last month. After the app update they disappeared entirely. Support says they can see them on their end. ID #413.,2026-03-02,4.2.1,CareUser5333
r0077,2,No confirmation email received,The booking portal crashes every time I reach the confirmation screen. My appointment was not confirmed. Had to call the front desk for 5 minutes to verify. Entry #226.,2026-03-29,4.2.0,CareUser7912
r0049,2,ER wait time unacceptable,The digital queue system says 22 min but after 4 hours I still wasn't seen. The app data and reality are completely disconnected. Review #148.,2026-03-29,4.1.1,PatientUser9085
r0088,1,Booking system unreliable,I was double-booked through the online system. Both my appointment and another patient's were scheduled for the same slot. Nobody contacted me until I arrived. Entry #237.,2026-03-18,4.2.1,User7065
r0144,2,Test results missing from portal,The portal is completely unusable on Android Android 14. Crashes on the home screen. iOS users don't have this problem. ID #418.,2026-03-21,4.0.0,User4814
r0046,2,Emergency room triage delayed,The digital queue system says 36 min but after 7 hours I still wasn't seen. The app data and reality are completely disconnected. Review #145.,2025-11-16,4.0.0,CareUser7224
r0017,1,ER department extremely slow,The emergency wait time notification system is useless. It says 36 minutes but actual wait is 4 hours. At least tell patients to expect a long wait. Review #116.,2025-10-03,4.2.0,HealthUser2084
r0081,2,Appointment confirmation lost,The portal crashes on the confirmation screen when I include insurance information. Empty fields go through fine but that's useless for billing. Entry #230.,2026-01-21,4.0.0,HealthUser6168
r0021,2,Hours wait no update,Arrived at 8am with difficulty breathing. Triaged at 20pm. 4 hours with no explanation and an app showing 36 minutes wait time. Appalling. Review #120.,2025-10-14,4.0.0,PatientUser6155
r0013,1,Shocking wait time in ER,Staff were pleasant but the 6-hour wait with no communication was unacceptable. The app wait time display has never been accurate in my experience. Review #112.,2025-12-15,4.1.0,CareUser9935
r0071,2,Double booking incident,I was double-booked through the online system. Both my appointment and another patient's were scheduled for the same slot. Nobody contacted me until I arrived. Entry #220.,2025-10-19,4.2.1,PatientUser4456
r0050,2,Waited hours with urgent condition,Waited 7 hours before being seen for difficulty breathing. During that time nobody explained the delay or checked on us. The portal showed 34 min wait the entire time. Review #149.,2025-10-28,4.2.1,CareUser5012
r0149,2,Test results missing from portal,My medication list shows discontinued medications as active and is missing current prescriptions. The data sync is clearly broken. ID #423.,2025-10-02,4.1.0,AppUser1188
